 Omnivariance, Eigenentropy, Anisotropy, Linearity, Surface Variation, Class
0.1531,0.8353,-3.851,-1.013,0.6168,1
0.157,0.8452,-4.172,-1.393,0.6039,1
0.1678,0.8615,-3.83,-1.098,0.6093,1
0.1401,0.8164,-3.196,-0.9979,0.5833,1
0.1339,0.7974,-3.274,-0.7555,0.608,1
0.1531,0.8363,-4.126,-1.239,0.6127,1
0.1636,0.8588,-3.832,-1.275,0.596,1
0.1615,0.8521,-3.962,-1.213,0.607,1
0.1589,0.8396,-4.547,-1.248,0.6307,1
0.151,0.8311,-3.972,-1.067,0.6185,1
0.1345,0.801,-3.783,-1.16,0.6022,1
0.1262,0.7515,-5.108,-0.4074,0.7173,1
0.1314,0.7924,-4.072,-1.23,0.6109,1
0.1324,0.7943,-3.197,-0.7433,0.6047,1
0.1447,0.8265,-2.76,-0.6971,0.5823,1
0.1411,0.8187,-3.207,-1.009,0.583,1
0.1492,0.8287,-3.711,-0.9463,0.6152,1
0.1397,0.8152,-3.206,-0.9905,0.5844,1
0.1506,0.8283,-4.258,-1.157,0.6248,1
0.1321,0.7936,-3.155,-0.7193,0.6044,1
0.1681,0.8646,-3.729,-1.136,0.6013,1
0.1312,0.7915,-3.419,-0.8679,0.6064,1
0.1494,0.825,-4.287,-1.126,0.6284,1
0.1639,0.8597,-3.595,-1.106,0.5967,1
0.1324,0.7964,-4.016,-1.321,0.6017,1
0.1294,0.7869,-3.554,-0.9131,0.6099,1
0.1525,0.8282,-4.527,-1.183,0.6346,1
0.1298,0.788,-3.358,-0.8324,0.6061,1
0.1424,0.8221,-2.781,-0.7699,0.5772,1
0.1392,0.8133,-2.807,-0.6854,0.5864,1
0.1675,0.8626,-3.791,-1.13,0.6048,1
0.1623,0.8602,-3.485,-1.177,0.5854,1
0.1316,0.7915,-3.381,-0.7769,0.6121,1
0.1552,0.8337,-4.221,-1.031,0.6327,1
0.1357,0.8052,-3.458,-1.089,0.5907,1
0.1306,0.7901,-3.483,-0.9046,0.6068,1
0.1601,0.8544,-3.617,-1.18,0.5921,1
0.1283,0.7826,-3.663,-0.8637,0.6195,1
0.1618,0.8583,-3.51,-1.146,0.5891,1
0.1486,0.8256,-4.119,-1.113,0.6218,1
0.1286,0.785,-3.486,-0.8897,0.6082,1
0.1607,0.8449,-4.307,-1.196,0.6242,1
0.1316,0.7946,-3.819,-1.216,0.5997,1
0.1275,0.7542,-5.282,-0.4868,0.7164,1
0.2789,-0.3049,-22.56,-1.745,0.8628,1
0.1708,0.8665,-3.877,-1.164,0.6065,1
0.155,0.8437,-4.035,-1.394,0.5973,1
0.1665,0.8612,-3.902,-1.222,0.6034,1
0.1356,0.8016,-3.72,-1.007,0.6108,1
0.1646,0.8596,-3.761,-1.177,0.5997,1
0.1651,0.8605,-3.682,-1.118,0.6002,1
0.1433,0.8229,-3.292,-1.025,0.5866,1
0.1248,0.7476,-5.432,-0.4928,0.7207,1
0.138,0.8119,-3.125,-0.98,0.5806,1
0.167,0.8529,-4.27,-1.132,0.6273,1
0.1337,0.7997,-3.72,-1.179,0.5975,1
0.1314,0.7927,-3.095,-0.7453,0.5987,1
0.1643,0.8588,-3.759,-1.155,0.6013,1
0.1402,0.8163,-3.126,-0.9362,0.5843,1
0.1309,0.79,-3.459,-0.8294,0.6118,1
0.1498,0.8305,-4.56,-1.542,0.6109,1
0.1608,0.8553,-3.543,-1.108,0.5938,1
0.09975,0.6927,-4.176,-0.2024,0.7015,1
0.1301,0.7876,-3.526,-0.8446,0.6141,1
0.1395,0.8153,-3.036,-0.9263,0.5797,1
0.1659,0.863,-3.552,-1.074,0.5969,1
0.1306,0.7907,-3.41,-0.9101,0.6025,1
0.1458,0.8162,-4.608,-1.206,0.6363,1
0.1442,0.8258,-3.277,-1.068,0.5823,1
0.1609,0.8575,-3.486,-1.162,0.5866,1
0.1638,0.854,-3.889,-1.08,0.6135,1
0.1307,0.7911,-3.176,-0.7961,0.5989,1
0.1324,0.7965,-3.887,-1.255,0.6002,1
0.1281,0.7838,-3.522,-0.9086,0.6086,1
0.1608,0.8554,-3.54,-1.105,0.5939,1
0.1211,0.7658,-3.995,-1.109,0.6163,1
0.1654,0.8544,-4.302,-1.304,0.6161,1
0.1668,0.8607,-3.905,-1.184,0.6063,1
0.1265,0.7796,-3.685,-0.9662,0.6123,1
0.129,0.785,-3.432,-0.8048,0.6124,1
0.1583,0.8435,-3.976,-1.065,0.6189,1
0.1555,0.8375,-4.144,-1.115,0.6228,1
0.1329,0.7949,-3.316,-0.7593,0.61,1
0.1438,0.8244,-3.263,-1.021,0.5853,1
0.1654,0.8602,-3.726,-1.121,0.6023,1
0.129,0.785,-3.594,-0.8747,0.6151,1
0.1695,0.8654,-3.851,-1.176,0.6043,1
0.1622,0.8586,-3.527,-1.133,0.591,1
0.1324,0.7959,-3.528,-1.026,0.5994,1
0.1605,0.8528,-3.939,-1.303,0.5993,1
0.132,0.792,-3.321,-0.7188,0.6138,1
0.1519,0.8298,-4.087,-1.015,0.6278,1
0.1471,0.825,-3.959,-1.123,0.6136,1
0.1656,0.8579,-3.818,-1.074,0.6105,1
0.1664,0.8629,-3.676,-1.134,0.5988,1
0.165,0.8592,-3.844,-1.195,0.6025,1
0.1577,0.8368,-4.265,-1.027,0.6349,1
0.1541,0.8319,-4.319,-1.098,0.6319,1
0.1571,0.837,-4.405,-1.167,0.6305,1
0.1565,0.8384,-4.165,-1.098,0.6251,1
0.1308,0.7913,-3.133,-0.7645,0.5992,1
0.1301,0.7864,-3.591,-0.7917,0.6218,1
0.1283,0.7847,-3.65,-1.007,0.6073,1
0.1275,0.7829,-3.266,-0.8252,0.6016,1
0.1509,0.8339,-4.263,-1.415,0.6064,1
0.1611,0.8582,-3.477,-1.177,0.585,1
0.1666,0.8615,-3.726,-1.092,0.6045,1
0.1665,0.864,-3.482,-1.022,0.5973,1
0.1323,0.7958,-3.866,-1.215,0.6022,1
0.1314,0.7912,-3.177,-0.6875,0.6085,1
0.1445,0.8263,-2.734,-0.7063,0.5798,1
0.1615,0.8578,-3.4,-1.055,0.5902,1
0.1664,0.8609,-3.719,-1.073,0.6056,1
