 Length, Height, Width, Eigenentropy, Anisotropy, Surface Variation, Verticality, Class
1.352,1.09,2.428,0.7448,-5.282,0.7144,0.9681,1
0.9117,0.91,1.791,0.6248,-5.502,0.7151,0.7898,1
1.045,0.9,1.652,0.5872,-6.628,0.7171,0.7318,1
1.645,1.22,1.921,0.7915,-2.769,0.5591,0.6962,1
1.646,1.1,2.084,0.7377,-4.6,0.6949,0.9121,1
1.926,1.09,1.919,0.8252,-4.199,0.6235,0.9111,1
1.731,1.31,2.031,0.8289,-3.167,0.5804,0.8587,1
2.108,1.22,1.843,0.8578,-3.502,0.5914,0.9338,1
1.874,1.21,1.519,0.8171,-3.179,0.5845,0.9475,1
1.685,1.22,2.469,0.8586,-3.957,0.5991,0.8959,1
2.202,1.08,1.621,0.8277,-4.198,0.6218,0.8981,1
1.833,1.09,2.512,0.8408,-4.212,0.6025,0.9224,1
1.574,1.22,2.537,0.8425,-3.906,0.6205,0.9263,1
1.528,1.09,1.6,0.7843,-3.405,0.6129,0.915,1
1.739,1.1,2.487,0.84,-4.374,0.6204,0.8861,1
1.89,1.09,1.246,0.7995,-3.834,0.5955,0.9233,1
1.842,1.09,1.832,0.7936,-4.176,0.6021,0.9429,1
2.473,1.21,1.675,0.8599,-3.795,0.5964,0.9247,1
2.496,1.21,1.725,0.848,-3.656,0.597,0.9196,1
2.466,1.11,1.556,0.8304,-3.63,0.6113,0.8858,1
2.457,1.22,1.718,0.8576,-4.021,0.6122,0.8937,1
1.985,1.1,1.784,0.8242,-3.783,0.6168,0.9066,1
1.816,1.1,1.598,0.7938,-2.909,0.5968,0.9056,1
2.473,1.22,1.658,0.8546,-3.734,0.6062,0.9158,1
2.412,1.09,1.685,0.8405,-4.072,0.6213,0.9076,1
2.527,1.09,1.552,0.8325,-3.969,0.6235,0.9386,1
1.725,1.1,1.592,0.7922,-3.124,0.6025,0.9275,1
1.674,1.09,1.828,0.7962,-4.096,0.5946,0.9396,1
1.937,1.21,1.597,0.8197,-3.056,0.5812,0.9008,1
1.502,1.21,1.855,0.8163,-3.132,0.5773,0.9324,1
2.469,1.24,1.679,0.8639,-3.743,0.597,0.9027,1
2.318,1.21,1.704,0.8569,-3.676,0.5924,0.9154,1
1.614,1.11,2.53,0.8436,-4.197,0.6246,0.8866,1
1.91,1.09,1.598,0.7654,-4.073,0.6138,0.9385,1
2.112,1.24,1.907,0.8623,-3.997,0.6115,0.8873,1
1.863,1.08,1.322,0.8004,-3.562,0.6006,0.8987,1
1.858,1.08,1.604,0.7872,-3.842,0.624,0.9649,1
1.647,1.09,1.811,0.7988,-3.873,0.6039,0.955,1
1.736,1.22,1.772,0.8135,-3.147,0.5908,0.928,1
2.425,1.22,1.718,0.8548,-3.855,0.6086,0.9078,1
2.026,1.22,1.653,0.8233,-3.278,0.5869,0.9418,1
1.842,1.08,1.576,0.7866,-3.345,0.6087,0.9227,1
2.467,1.22,1.664,0.8606,-3.735,0.5948,0.9024,1
1.709,1.23,1.972,0.8142,-2.963,0.5809,0.9112,1
1.695,1.22,2.505,0.8564,-3.624,0.591,0.9223,1
1.375,1.09,1.884,0.799,-4.196,0.6091,0.9348,1
1.81,1.22,2.281,0.8557,-3.725,0.6046,0.9176,1
2.505,1.22,1.715,0.8598,-3.882,0.5998,0.9123,1
1.682,1.22,2.528,0.8566,-3.763,0.6064,0.934,1
1.884,1.1,1.581,0.7871,-3.228,0.6064,0.9078,1
1.707,1.1,1.607,0.7944,-3.29,0.6102,0.9335,1
1.297,1.08,2.009,0.7906,-3.163,0.6066,0.9113,1
2.522,1.22,1.743,0.8582,-3.635,0.5859,0.9142,1
2.196,1.09,1.571,0.8258,-4.154,0.6215,0.9184,1
1.974,1.09,1.463,0.7858,-3.505,0.6144,0.9375,1
1.859,1.09,1.947,0.8133,-4.299,0.628,0.8825,1
1.493,1.08,1.955,0.7939,-3.677,0.599,0.9285,1
2.533,1.22,1.645,0.8563,-3.877,0.6127,0.9048,1
2.325,1.09,1.886,0.8401,-4.193,0.6101,0.9137,1
1.687,1.09,1.613,0.7887,-3.287,0.6134,0.9202,1
1.503,1.22,1.634,0.8163,-2.802,0.58,0.9043,1
1.728,1.08,1.26,0.7786,-3.772,0.6064,0.9499,1
2.258,1.1,1.638,0.8427,-4.22,0.6136,0.9079,1
2.548,1.23,1.759,0.8567,-3.401,0.5924,0.8884,1
1.69,1.23,2.11,0.8594,-3.912,0.6017,0.9102,1
1.791,1.08,1.737,0.7951,-3.744,0.5987,0.9345,1
1.765,1.09,1.242,0.6898,-4.303,0.7148,0.9603,1
0.9236,0.91,1.791,0.6367,-4.731,0.7123,0.8559,1
2.065,0.92,1.349,0.674,-8.882,0.7442,0.8589,1
0.8919,0.9,1.136,0.4791,-12.63,0.5954,0.9114,1
2.056,1.1,1.128,0.6832,-5.559,0.7011,0.9539,1
1.572,1.09,1.977,0.7949,-3.166,0.6092,0.8981,1
1.593,1.09,2.007,0.7987,-3.374,0.6114,0.9183,1
1.592,1.09,1.787,0.7989,-4.046,0.61,0.9365,1
1.834,1.08,1.609,0.7861,-3.644,0.6114,0.9503,1
1.938,1.09,1.565,0.795,-3.188,0.608,0.9467,1
1.58,1.08,1.665,0.781,-3.879,0.6067,0.9573,1
2.488,1.23,1.706,0.8611,-3.893,0.6009,0.928,1
1.754,1.21,1.375,0.8202,-2.993,0.587,0.9135,1
1.74,1.1,2.442,0.8458,-4.156,0.6176,0.914,1
1.67,1.08,2.391,0.7475,-5.47,0.7194,0.9545,1
1.793,1.23,2.075,0.8601,-3.598,0.6002,0.9025,1
1.364,1.09,1.877,0.793,-4.054,0.6025,0.9171,1
2.407,1.12,1.62,0.8335,-3.603,0.6105,0.8712,1
1.628,1.22,1.503,0.8228,-3.038,0.5853,0.9223,1
1.544,1.09,1.754,0.7953,-4.196,0.6056,0.9444,1
2.133,1.09,1.942,0.8392,-4.549,0.6053,0.9019,1
1.825,1.09,1.255,0.7926,-3.242,0.6129,0.9452,1
1.688,1.22,2.286,0.8595,-3.405,0.5916,0.9199,1
2.427,1.09,1.883,0.8414,-4.118,0.6107,0.9125,1
1.871,1.1,1.572,0.7872,-3.582,0.6155,0.94,1
2.515,1.08,1.563,0.8334,-4.201,0.6212,0.8758,1
2.509,1.23,1.731,0.8556,-3.863,0.6052,0.9042,1
1.656,1.23,2.267,0.8547,-3.825,0.6055,0.9093,1
1.645,1.1,2.15,0.8426,-4.034,0.6179,0.9108,1
1.841,1.12,1.621,0.7978,-3.161,0.6083,0.9267,1
1.827,1.09,1.864,0.7985,-3.693,0.5934,0.9347,1
1.809,1.09,1.644,0.7934,-3.895,0.591,0.9431,1
1.817,1.09,1.631,0.786,-3.57,0.6098,0.9681,1
1.24,1.1,1.932,0.7885,-3.187,0.6087,0.927,1
1.924,1.1,2.041,0.7524,-5.147,0.7151,0.9431,1
1.192,1.08,1.89,0.7849,-3.348,0.6089,0.9224,1
1.687,1.22,2.143,0.8518,-4.208,0.6237,0.8934,1
1.709,1.09,2.336,0.7521,-5.247,0.7189,0.9328,1
1.655,1.21,1.777,0.8123,-3.431,0.5931,0.9426,1
1.24,1.1,1.774,0.775,-3.993,0.6234,0.9267,1
1.574,0.96,1.544,0.773,-4.003,0.6268,0.9376,1
1.599,1.09,1.43,0.6966,-4.216,0.7051,0.9761,1
2.467,1.1,1.706,0.8426,-4.472,0.6358,0.8931,1
1.74,1.22,1.637,0.8156,-2.927,0.5835,0.8998,1
2.462,1.1,1.621,0.829,-3.837,0.6112,0.9012,1
1.896,1.09,1.722,0.7994,-3.633,0.5967,0.94,1
2.425,1.09,1.674,0.8441,-4.058,0.6168,0.9091,1
1.242,1.08,1.92,0.7906,-3.135,0.6066,0.9309,1
1.83,1.08,1.597,0.7912,-3.372,0.6062,0.9404,1
1.861,1.09,2.159,0.7513,-5.202,0.7163,0.9437,1
2.537,1.09,1.659,0.8387,-4.291,0.6245,0.9026,1
1.375,1.09,1.912,0.7956,-4.133,0.6041,0.9395,1
2.445,1.09,1.55,0.8293,-3.711,0.6131,0.8867,1
1.996,1.08,1.548,0.7861,-3.399,0.6119,0.922,1
2.477,1.21,1.65,0.8602,-3.812,0.6004,0.9068,1
1.982,1.09,1.555,0.7689,-3.64,0.6079,0.9035,1
1.855,1.22,1.689,0.812,-2.929,0.5923,0.913,1
1.788,1.22,1.322,0.8188,-2.993,0.5815,0.9365,1
2.295,1.09,1.595,0.8353,-3.851,0.6168,0.8961,1
2.175,1.09,1.9,0.8452,-4.172,0.6039,0.9164,1
2.519,1.23,1.736,0.8615,-3.83,0.6093,0.8876,1
1.439,1.21,1.77,0.8164,-3.196,0.5833,0.9504,1
1.846,1.1,1.701,0.7974,-3.274,0.608,0.9203,1
2.139,1.08,1.623,0.8363,-4.126,0.6127,0.9339,1
2.511,1.22,1.715,0.8588,-3.832,0.596,0.91,1
2.394,1.23,1.762,0.8521,-3.962,0.607,0.8914,1
1.606,1.09,2.431,0.8396,-4.547,0.6307,0.882,1
2.239,1.08,1.809,0.8311,-3.972,0.6185,0.8869,1
1.808,1.09,1.887,0.801,-3.783,0.6022,0.9386,1
1.306,1.09,2.519,0.7515,-5.108,0.7173,0.9459,1
1.723,1.09,1.987,0.7924,-4.072,0.6109,0.9314,1
1.276,1.08,1.993,0.7943,-3.197,0.6047,0.9295,1
1.761,1.24,1.337,0.8265,-2.76,0.5823,0.9035,1
1.721,1.21,2.032,0.8187,-3.207,0.583,0.9218,1
1.844,1.12,2.022,0.8287,-3.711,0.6152,0.8839,1
1.462,1.22,1.757,0.8152,-3.206,0.5844,0.9319,1
1.951,1.09,1.857,0.8283,-4.258,0.6248,0.9068,1
1.563,1.09,1.928,0.7936,-3.155,0.6044,0.933,1
1.632,1.24,2.217,0.8646,-3.729,0.6013,0.8895,1
1.374,1.08,1.957,0.7915,-3.419,0.6064,0.9352,1
1.592,1.09,2.201,0.825,-4.287,0.6284,0.8949,1
2.492,1.22,1.732,0.8597,-3.595,0.5967,0.9053,1
1.553,1.08,1.843,0.7964,-4.016,0.6017,0.9504,1
1.861,1.09,1.608,0.7869,-3.554,0.6099,0.9197,1
2.362,1.09,1.601,0.8282,-4.527,0.6346,0.9121,1
1.303,1.1,1.657,0.788,-3.358,0.6061,0.9571,1
1.599,1.22,1.684,0.8221,-2.781,0.5772,0.916,1
1.72,1.22,1.353,0.8133,-2.807,0.5864,0.9329,1
2.455,1.23,1.658,0.8626,-3.791,0.6048,0.9026,1
2.513,1.23,1.695,0.8602,-3.485,0.5854,0.903,1
1.811,1.12,1.634,0.7915,-3.381,0.6121,0.9236,1
1.986,1.09,1.928,0.8337,-4.221,0.6327,0.9111,1
1.736,1.1,2.016,0.8052,-3.458,0.5907,0.9163,1
1.84,1.08,1.599,0.7901,-3.483,0.6068,0.9241,1
2.431,1.22,1.705,0.8544,-3.617,0.5921,0.9136,1
1.667,1.09,1.39,0.7826,-3.663,0.6195,0.9155,1
1.694,1.22,2.482,0.8583,-3.51,0.5891,0.9217,1
